Code Compte;Libellé Compte;Date écriture;Journal;Numéro de pièce;Libellé écriture;Référence pièce;Lettrage;Type écriture;Débit;Crédit;Solde
5320002T;BANQUE 01643/0 (EXPLOITATION);01/01/2026;N/A;N/A;A nouveau provisoire;N/A;N/A;N/A;15532086,42;15688570,89;-156484,465
5320002T;BANQUE 01643/0 (EXPLOITATION);01/05/2026;N/A;N/A;Cumul avant le 01/05/2026;N/A;N/A;N/A;7957044,888;8407371,415;-606810,992
5320002T;BANQUE 01643/0 (EXPLOITATION);01/05/2026;BI3;TN01-BI3-26-05-000001;Ajustement Comm° Bancaire Avril 2026;;;B;0;5,685;-606816,677
5320002T;BANQUE 01643/0 (EXPLOITATION);01/05/2026;BI3;TN01-BI3-26-05-000002;Ajustement Comm° Bancaire Mars 2026;;;B;0;0,627;-606817,304
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000004;COM BCAIRE;;;B;0;2,38;-606819,684
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000005;VIREMENT RECU BECHIR MELLITI;;;B;4500;0;-602319,684
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000006;VIR RECU MED AMINE GHARBI;;;B;2630;0;-599689,684
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000007;COM BCAIRE;;;B;0;0,38;-599690,064
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000008;COM BCAIRE;;;B;0;2;-599692,064
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000009;COM BCAIRE;;;B;0;2,38;-599694,444
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000010;VIR RECU TALBI TAREK;;;B;2200;0;-597494,444
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000011;VIR RECU THA LQ AUTO;;;B;107782,021;0;-489712,423
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000012;COM BCAIRE;;;B;0;0,38;-489712,803
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000013;COM BCAIRE;;;B;0;2;-489714,803
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000014;COM BCAIRE;;;B;0;1,045;-489715,848
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000015;COM BCAIRE;;;B;0;5,5;-489721,348
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000016;COM BCAIRE;;;B;0;1,045;-489722,393
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000017;COM BCAIRE;;;B;0;5,5;-489727,893
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;BI3;TN01-BI3-26-05-000138;VERSEMENT ESPECE;;;B;338;0;-489389,893
5320002T;BANQUE 01643/0 (EXPLOITATION);04/05/2026;OD;TN01-OD -26-05-000001;CORRECTION VERSEMENT ESPECE TRAPSA;;;B;0;338;-489727,893
5320002T;BANQUE 01643/0 (EXPLOITATION);05/05/2026;BI3;TN01-BI3-26-05-000018;VERSEMENT ESPECE;;;B;390,6;0;-489337,293
5320002T;BANQUE 01643/0 (EXPLOITATION);05/05/2026;BI3;TN01-BI3-26-05-000019;COM BCAIRE;;;B;0;2,38;-489339,673
5320002T;BANQUE 01643/0 (EXPLOITATION);05/05/2026;BI3;TN01-BI3-26-05-000020;VIREMENT RECU MOHAMED SAKKOUHI;;;B;1080;0;-488259,673
5320002T;BANQUE 01643/0 (EXPLOITATION);05/05/2026;BI3;TN01-BI3-26-05-000021;COM BCAIRE;;;B;0;1,785;-488261,458
