Agregat_Budget;Code_Sage;Libelle_SAGE;;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Budget_2024_cloture
;;CHIFFRE D'AFFAIRES;;;;;;;;;;;;;;
CA BRUT;7050001T;COMMISSION COMPTANT/GMP IARDT ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CA BRUT;7050002T;COMMISSION TERME/CONTENIEUX TERME IARDT ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CA BRUT;7051000T;COMMISSION GRAND COMPTE SANTE ;;1543463.0;1143463.0;1143463.0;2143463.0;1143463.0;1143463.0;1800000.0;1100000.0;1301524.0;1914913.0;1314913.0;1814913.0;17507041.0
CA BRUT;7052000T;COMMISSION GRAND COMPTE IARDT ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;;CA Brut;;1543463.0;1143463.0;1143463.0;2143463.0;1143463.0;1143463.0;1800000.0;1100000.0;1301524.0;1914913.0;1314913.0;1814913.0;17507041.0
;;;;;;;;;;;;;;;;
;;Retrocessions;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;;CA Net;;1543463.0;1143463.0;1143463.0;2143463.0;1143463.0;1143463.0;1800000.0;1100000.0;1301524.0;1914913.0;1314913.0;1814913.0;17507041.0
Autres produits d'exploitation;7300000T;gain divers ;;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;30000.0
;;Autres Produits d'Exploitation;;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;30000.0
;;Total Produits d'Exploitation;;1545963.0;1145963.0;1145963.0;2145963.0;1145963.0;1145963.0;1802500.0;1102500.0;1304024.0;1917413.0;1317413.0;1817413.0;17537041.0
;;COÛTS;;;;;;;;;;;;;;
Frais de personnel;6410000T;SIVP ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Frais de personnel;6410002T;STAGEAIRE ;;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-24000.0
Frais de personnel;6410003T;Salaire Régime Indépendant ;;-22000.0;-22000.0;-22000.0;-175000.0;-22000.0;-25000.0;-27000.0;-27000.0;-27000.0;-27000.0;-27000.0;-27000.0;-450000.0
Frais de personnel;6411000T;Salaires appointements ;;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-230000.0;-2760000.0
Frais de personnel;6412000T;Congés payés ;;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-24000.0
Frais de personnel;6414000T;Indemnités avantages divers ;;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-15000.0;-180000.0
Frais de personnel;6420001T;TICKET RESTAURANT ;;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-8000.0;-96000.0
Frais de personnel;6440000T;Rémunérations exploitant ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Frais de personnel;6470000T;CHARGE PATRONALE ;;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-15800.0;-189600.0
Frais de personnel;6471000T;ACCIDENT DE TRAVAIL ;;-33.33;-33.33;-33.33;-33.33;-33.33;-33.33;-33.33;-33.33;-33.33;-33.33;-33.33;-33.33;-399.95999999999987
Frais de personnel;6473000T;COTISATION REGIME INDEPENDANT ;;-1000.0;0.0;0.0;-1000.0;0.0;0.0;-1000.0;0.0;0.0;-1000.0;0.0;0.0;-4000.0
Frais de personnel;6611000T;TFP ;;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-4000.0;-48000.0
Frais de personnel;6612000T;FOPROLOS ;;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-24000.0
;;Frais de Personnel;;-301833.33;-300833.33;-300833.33;-454833.33;-300833.33;-303833.33;-306833.33;-305833.33;-305833.33;-306833.33;-305833.33;-305833.33;-3799999.9600000004
;xxxxxxT;BRAND FEES OLEA HOLDING ;;;;;;;;;;;;;;0.0
;xxxxxxT;MGMT FEES OLEA HOLDING ;;;;;;;;;;;;;;0.0
Honoraires & Sous-traitance;6122000T;IT COST OLEA HOLDING ;;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-75000.0;-900000.0
Honoraires & Sous-traitance;6122100T;IT COST OLEA SERVICES ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Honoraires & Sous-traitance;6122200T;IT COST OLEA MAURICE ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Honoraires & Sous-traitance;6220001T;HONORAIRE BEG ;;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-120000.0;-1440000.0
Honoraires & Sous-traitance;6220002T;HONORAIRES CAC ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Honoraires & Sous-traitance;6220003T;APPORTEURS AFFAIRES ;;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-208000.0;-2496000.0
Honoraires & Sous-traitance;6220004T;HONORAIRES JURIDIQUE ;;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-4823.0;-57876.0
;;Honoraires & Sous-traitance;;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-407823.0;-4893876.0
Frais Commerciaux;6230000T;Publicité, publications, relations ;;-16000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-10000.0;-126000.0
Frais Commerciaux;6230001T;DON ;;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-3500.0;-42000.0
Frais Commerciaux;6240000T;Transports biens et personnel ;;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-9000.0;-108000.0
Frais Commerciaux;6250000T;Déplacements, missions, réceptions ;;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-20000.0;-240000.0
Frais Commerciaux;6255000T;Frais réception ;;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-84000.0
Frais Commerciaux;6256000T;FRAIS DE MISSION ;;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-25000.0;-300000.0
;;Frais Commerciaux;;-80500.0;-74500.0;-74500.0;-74500.0;-74500.0;-74500.0;-74500.0;-74500.0;-74500.0;-74500.0;-74500.0;-74500.0;-900000.0
Impôts et taxes;6360000T;PENALITE DE RETARD ;;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-500.0;-6000.0
Impôts et taxes;6652000T;TCL SUR CA A L'EXPORT ;;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-7000.0;-84000.0
Impôts et taxes;6654000T;DROIT D'ENREGISTTREMENT ;;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-5000.0;-60000.0
;;Impôts et taxes;;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-12500.0;-150000.0
Fonctionnement courant;6061000T;Eau, électricité ... ;;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-2000.0;-24000.0
Fonctionnement courant;6061100T;Electricité ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Fonctionnement courant;6062000T;ACHAT PRODUITS  DENTRETIEN ;;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-1500.0;-18000.0
