Agregat_Budget;Code_Sage;Libelle_SAGE;;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Budget_2025_cloture;;Forecast_8_4;;Ecart_Valeur 
;;CHIFFRE D'AFFAIRES;;;;;;;;;;;;;;;;;;
CA BRUT;7050001T;COMMISSION COMPTANT/GMP IARDT ;;8505.684;8148.84;16684.442;15051.024;20875.733;19090.404;22367.826;24461.947;13000.0;15000.0;15000.0;15000.0;193185.9;;193185.9;;0.0
CA BRUT;7050002T;COMMISSION TERME/CONTENIEUX TERME IARDT ;;17412.972;14383.713;7686.731;13760.749;8221.58;11103.882;12364.183;7612.157;5000.0;6088.0;7000.0;7000.0;117633.967;;117633.967;;0.0
CA BRUT;7051000T;COMMISSION GRAND COMPTE SANTE ;;2401453.49;374000.0;730933.354;1878323.809;308453.987;2355.519;2172148.241;469427.225;180000.0;2300000.0;1500000.0;1850000.0;14167095.625;;13917095.625;;250000.0
CA BRUT;7052000T;COMMISSION GRAND COMPTE IARDT ;;0.0;907413.089;816771.831;999025.396;414390.735;122906.051;402357.045;634810.837;17000.0;186000.0;480000.0;483301.263;5463976.2469999995;;5463976.2469999995;;0.0
;;CA Brut;;2427372.146;1303945.642;1572076.358;2906160.978;751942.035;155455.856;2609237.295;1136312.166;215000.0;2507088.0;2002000.0;2355301.263;19941891.739;;19691891.739;;250000.0
;;;;;;;;;;;;;;;;;;;;
;;Retrocessions;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
;;CA Net;;2427372.146;1303945.642;1572076.358;2906160.978;751942.035;155455.856;2609237.295;1136312.166;215000.0;2507088.0;2002000.0;2355301.263;19941891.739;;19691891.739;;250000.0
Autres produits d'exploitation;7300000T;gain divers ;;;;;;;;;;;;;;0.0;;24638.513;;-24638.513
;;Autres Produits d'Exploitation;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;24638.513;;-24638.513
;;Total Produits d'Exploitation;;2427372.146;1303945.642;1572076.358;2906160.978;751942.035;155455.856;2609237.295;1136312.166;215000.0;2507088.0;2002000.0;2355301.263;19941891.739;;19716530.252;;225361.48699999973
;;COÛTS;;;;;;;;;;;;;;;;;;
Frais de personnel;6410000T;SIVP ;;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-13000.0;-156000.0;;-148914.62;;-7085.380000000005
Frais de personnel;6410002T;STAGEAIRE ;;-1000.0;0.0;0.0;0.0;-1600.0;-1600.0;-1300.0;-8800.0;-4000.0;-4000.0;-4000.0;-4000.0;-30300.0;;-30300.0;;0.0
Frais de personnel;6410003T;Salaire Régime Indépendant ;;-20968.973;-20979.024;-21082.839;-21062.839;-21052.839;-21082.839;-180000.0;-20874.165;-50000.0;-50000.0;-50000.0;-21052.839;-498156.35699999996;;-476579.25799999986;;-21577.099000000104
Frais de personnel;6411000T;Salaires appointements ;;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-212561.25;-2550735.0;;-2550735.083;;0.08300000010058284
Frais de personnel;6412000T;Congés payés ;;0.0;27142.41;0.0;-25000.0;0.0;0.0;0.0;0.0;-2000.0;-2000.0;-2000.0;-2000.0;-5857.59;;-5857.59;;0.0
Frais de personnel;6414000T;Indemnités avantages divers ;;-46416.0;-46416.0;-46416.0;-46416.0;-46416.0;-46416.0;-46416.0;-46416.0;-46416.0;-46416.0;-46420.0;-46417.0;-556997.0;;-249226.36500000002;;-307770.635
Frais de personnel;6420001T;TICKET RESTAURANT ;;-74.113;17140.0;18920.0;15510.0;-53228.211;-2235.335;180.0;0.0;-8000.0;-8000.0;-8000.0;-8000.0;-35787.659;;-35787.659;;0.0
Frais de personnel;6440000T;Rémunérations exploitant ;;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-16000.0;-192000.0;;-212870.209;;20870.209000000003
Frais de personnel;6470000T;CHARGE PATRONALE ;;-28533.258;0.0;-62692.668;-36643.136;-33109.662;-34536.743;-37072.831;-29618.951;-35000.0;-36000.0;-36000.0;-36000.0;-405207.249;;-380683.053;;-24524.195999999996
Frais de personnel;6471000T;ACCIDENT DE TRAVAIL ;;-1063.325;0.0;-2356.549;-1467.736;-1263.068;-1282.988;-1449.637;-1102.09;-2300.0;-2300.0;-2300.0;-2300.0;-19185.393;;-19185.393;;0.0
Frais de personnel;6473000T;COTISATION REGIME INDEPENDANT ;;0.0;0.0;0.0;-7508.1;0.0;0.0;-7508.1;0.0;0.0;-7508.1;0.0;0.0;-22524.300000000003;;-15246.158;;-7278.1420000000035
Frais de personnel;6611000T;TFP ;;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-4500.0;-54000.0;;-51909.731999999996;;-2090.2680000000037
Frais de personnel;6612000T;FOPROLOS ;;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-2250.0;-27000.0;;-24729.866;;-2270.133999999998
;;Frais de Personnel;;-346366.91900000005;-271423.864;-361939.30600000004;-370899.061;-404981.0300000001;-355465.1550000001;-521877.81799999997;-355122.45600000006;-396027.25;-404535.35;-397031.25;-368081.08900000004;-4553750.548;;-4202024.986;;-351725.56200000085
;xxxxxxT;BRAND FEES OLEA HOLDING ;;;;;;;;;;;;;;0.0;;0.0;;0.0
;xxxxxxT;MGMT FEES OLEA HOLDING ;;;;;;;;;;;;;;0.0;;0.0;;0.0
Honoraires & Sous-traitance;6122000T;IT COST OLEA HOLDING ;;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-29750.0;-357000.0;;-300006.255;;-56993.744999999995
Honoraires & Sous-traitance;6122100T;IT COST OLEA SERVICES ;;-27916.0;-27916.0;-27916.0;-27916.0;-27916.0;-27916.0;-27916.0;-27916.0;-27916.0;-27916.0;-27916.0;-27924.0;-335000.0;;-335157.9;;157.90000000002328
Honoraires & Sous-traitance;6122200T;IT COST OLEA MAURICE ;;;;;;;;;;;;;;0.0;;0.0;;0.0
Honoraires & Sous-traitance;6220001T;HONORAIRE BEG ;;-217955.031;-55495.692;-46883.151;-154375.081;-80739.173;-103695.181;-104760.392;-85446.996;-128500.0;-128500.0;-130200.0;-128500.0;-1365050.6970000002;;-1365050.6970000002;;0.0
Honoraires & Sous-traitance;6220002T;HONORAIRES CAC ;;0.0;0.0;-17137.0;0.0;-23265.5;-19195.7;0.0;0.0;0.0;0.0;0.0;0.0;-59598.2;;-59598.2;;0.0
Honoraires & Sous-traitance;6220003T;APPORTEURS AFFAIRES ;;-300000.0;0.0;0.0;-900000.0;0.0;0.0;-280000.0;-340000.0;-340000.0;-340000.0;-340000.0;-280000.0;-3120000.0;;-3120000.0;;0.0
Honoraires & Sous-traitance;6220004T;HONORAIRES JURIDIQUE ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-20000.0;-20000.0;-20000.0;-20000.0;-80000.0;;-100000.0;;20000.0
;;Honoraires & Sous-traitance;;-575621.031;-113161.69200000001;-121686.151;-1112041.081;-161670.673;-180556.881;-442426.392;-483112.996;-546166.0;-546166.0;-547866.0;-486174.0;-5316648.897;;-5279813.052;;-36835.84499999974
Frais Commerciaux;6230000T;Publicité, publications, relations ;;-17089.746;-14074.001;-40460.215;-12242.002;-15275.469;-9171.003;0.0;-12830.692;-3000.0;-3000.0;-3000.0;-3000.0;-133143.128;;-133143.128;;0.0
Frais Commerciaux;6230001T;DON ;;0.0;0.0;-5000.0;-37244.0;-9877.0;-8500.0;-11981.208;0.0;0.0;-3500.0;0.0;0.0;-76102.208;;-76102.208;;0.0
Frais Commerciaux;6240000T;Transports biens et personnel ;;-9893.5;-10230.0;-13244.5;-6240.0;-20542.5;-15451.0;-49935.0;-12740.0;-20500.0;-20500.0;-20500.0;-20500.0;-220276.5;;-220276.5;;0.0
Frais Commerciaux;6250000T;Déplacements, missions, réceptions ;;-10224.45;-84048.75;-104551.35;-25871.425;-14893.95;-8657.011;-81062.264;-6766.109;-30000.0;-20000.0;-20000.0;-20000.0;-426075.30899999995;;-501075.30899999995;;75000.0
Frais Commerciaux;6255000T;Frais réception ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-100000.0;;100000.0
Frais Commerciaux;6256000T;FRAIS DE MISSION ;;-34160.0;-92347.5;-55922.5;-13457.0;-60260.5;-27047.5;-12573.5;-32656.0;-30000.0;-30000.0;-30000.0;-30000.0;-448424.5;;-448424.5;;0.0
;;Frais Commerciaux;;-71367.696;-200700.251;-219178.565;-95054.427;-120849.419;-68826.514;-155551.972;-64992.801;-83500.0;-77000.0;-73500.0;-73500.0;-1304021.645;;-1479021.645;;175000.0
Impôts et taxes;6360000T;PENALITE DE RETARD ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-500.0;-500.0;-500.0;-500.0;-2000.0;;-2000.0;;0.0
Impôts et taxes;6652000T;TCL SUR CA A L'EXPORT ;;-4854.744;-2102.034;-3161.153;-5755.783;-1560.425;-311.038;-5218.481;-2272.484;-7000.0;-7000.0;-7000.0;-7000.0;-53236.142;;-53236.142;;0.0
Impôts et taxes;6654000T;DROIT D'ENREGISTTREMENT ;;-4680.0;-180.0;-300.0;-1485.0;0.0;0.0;0.0;0.0;-5000.0;-5000.0;-5000.0;-5000.0;-26645.0;;-26645.0;;0.0
;;Impôts et taxes;;-9534.743999999999;-2282.034;-3461.153;-7240.783;-1560.425;-311.038;-5218.481;-2272.484;-12500.0;-12500.0;-12500.0;-12500.0;-81881.14199999999;;-81881.14199999999;;0.0
